disease,symptoms_causes,diagnosis,tests,treatment,prevention,source_url
Snoring,awakening; behavioral issues; blood pressure; Chest pain; children; choking at night; concentrating; daytime sleepiness; Difficulty; Difficulty concentrating; Excessive daytime; Excessive daytime sleepiness; Gasping or choking; headaches; High blood,a physical examination; some questions; symptoms; the problem; the severity; your condition; your doctor; your medical history; your partner; your signs,,a number; alcohol; Avoiding; Avoiding alcohol close; Avoiding sleep; Avoiding sleep deprivation; back; bedtime; Continuous positive airway pressure; Continuous positive airway pressure (CPAP).; CPAP; form-fitting dental mouthpieces; Losing; Losing weight; nasal congestion; Oral appliances; Oral appliances.; procedures; sleep deprivation; the position,"about 4 inches; Adhesive strips; Adults; alcohol; allergies; an external nasal dilator; at least seven hours; enough sleep; extra tissues; Get enough sleep.; If you're overweight, lose weight.; Limit; nasal congestion; Nasal strips; obstruction; People; Quit smoking; Quit smoking.; sedatives; Sleep on your side.",https://www.mayoclinic.org/diseases-conditions/snoring/symptoms-causes/syc-20377694
Social anxiety disorder (social phobia),a feared activity; a negative experience; Analysis; anticipation; Anxiety; anxious; Avoidance; blank; blushing; certain situations; children; Comfort levels; Dizziness; Dizziness or lightheadedness; embarrassing or humiliating,"a list; a medical condition; anxiety; anxiety-producing social situations; any medical condition; Avoidance; Criteria; Discussion; distress; Excessive anxiety; Fear; intense fear; medication; Mental Disorders; Persistent, intense fear; Physical exam; proportion; Review; Self-report questionnaires; situations",,Cognitive behavioral therapy; confidence; daily life; how much social anxiety disorder; medications; most people; negative thoughts; psychological counseling; psychotherapy; skills; social anxiety disorder; social situations; symptoms; talk therapy; The most common treatment; therapy; Treatment; your ability,"a healthy, well-balanced diet; a journal; a regular basis; alcohol; Alcohol and drug use; Anxiety; Avoid; Avoid alcohol; Avoid unhealthy substance use.; caffeine; Eat a healthy; enough sleep; even caffeine; Get help early.; help; Keep a journal.; Learn stress-reduction; Learn stress-reduction skills; Limit; Limit or avoid; many other mental health conditions; Participate in social; people; physical exercise; regular basis; Set priorities; Set priorities in your life.; sleep; social situations; stress-reduction skills; track; unhealthy substance use; well-balanced diet; your life; your personal life",https://www.mayoclinic.org/diseases-conditions/social-anxiety-disorder/symptoms-causes/syc-20353561
Soft palate cancer,Bad; Bad breath; Bleeding; breath; Difficulty; Difficulty speaking; Difficulty swallowing; Ear; Ear pain; heal; hurt; Loose; Loose teeth; loss; mouth,a closer look; A healthcare professional; a mirror; cancer; cancer include; diagnose soft; diagnose soft palate; doctor; healthcare professional; lumps; other healthcare professional; other signs; palate cancer; palate cancer include; precancerous changes; procedures; professional can check; signs; soft palate; soft palate cancer; sores; Tests; Tests and procedures; the mouth; tiny camera; your appointments; your dentist; your mouth; your soft palate,a biopsy; a piece; a sample; biopsies; called PET; cells; different types; Imaging tests; Imaging tests capture; location; MRI; PET; pictures; Positron emission tomography; ray; soft palate cancer; tests capture pictures; the body; the cancer; the entire area; the mouth; The pictures; the size; the suspicious tissue; this test; X-ray,a machine; a skilled rehabilitation team; a treatment; a treatment plan; advanced soft; advanced soft palate; advanced soft palate cancer; any remaining cells; beams; cancer cells; cancer treatment; changes; chemotherapy; diseases; energy; enteral nutrition; germs; Home enteral; Home enteral nutrition; Immunotherapy; kill cancer; kill cancer cells; many factors; Mayo Clinic; medicines; medicines to kill; other cells; other parts; other sources; powerful energy beams; protons; radiation; Radiation therapy; rays; soft palate cancer; Soft palate cancer care; speak and eat; specific chemicals; strong medicines; surgery; Targeted therapy; targeted treatments; the body; the cancer cells; the cancer's location; The energy; the same time; The team; these chemicals; Treatment; your ability; your body; your body's immune system; Your healthcare team; Your immune system,cancer include; include; palate cancer; palate cancer include; reduce your risk; risk of soft; soft palate; soft palate cancer; Ways; your risk,https://www.mayoclinic.org/diseases-conditions/soft-palate-cancer/symptoms-causes/syc-20354183
Soft tissue sarcoma,A noticeable lump; A soft tissue sarcoma; any symptoms; cancer grows; lump or swelling; nerves; noticeable lump; Pain; sarcoma; soft; soft tissue; soft tissue sarcoma; the cancer; the growth; tissue,a sample; cells; diagnose soft tissue; imaging tests; procedures; sarcoma include imaging; soft tissue sarcoma; testing; Tests; tissue sarcoma include,(PET) scans; a needle; biopsy; Core needle biopsy; Core needle biopsy.; CT scans; emission tomography scan; Mayo Clinic; MRI; MRI scans; Needle; Needle biopsy; PET; Positron emission; Positron emission tomography; scans; Soft tissue sarcoma; Soft tissue sarcoma care; some cases; Surgical biopsy; Surgical biopsy.; This method; Ultrasound; X-rays,a tumor; a vein; After surgery.; any cancer cells; Before surgery.; Cancer; cancer cells; Cancer treatment; Chemotherapy; During surgery.; instance; intraoperative; intraoperative radiation; intraoperative radiation therapy; IORT; location; Mayo Clinic; more radiation; needed; options for soft; pill form; Radiation; radiation therapy; rhabdomyosarcoma; soft tissue; soft tissue sarcoma; Soft tissue sarcoma care; soft tissue sarcoma respond; Some types; standard radiation therapy; strong medicines; surgery; the cancer; The dose; The medicines; the size; therapy; tissue sarcoma; treatment; Treatment options; type; type and location,,https://www.mayoclinic.org/diseases-conditions/soft-tissue-sarcoma/symptoms-causes/syc-20377725
Somatic symptom disorder,a medical condition; a more severe impairment; a sign; A single symptom; abnormalities; any medical cause; cancer; Constant worry; damage; departments; Diagnosis; Doctors; Fearing that symptoms; Feeling that medical; Frequent health care,a psychological evaluation; a psychological self-assessment; alcohol; drug; example; excessive and persistent thoughts; fears; more than six months; one or more somatic symptoms; other substance use; pain; questionnaire; self-assessment or questionnaire; symptoms; the seriousness; the symptoms; your symptoms,,activities; Address depression; avoidance; cope with physical; daily life; expectations; goal of treatment; health and physical symptoms; home; Learn; medications; mental health disorders; other mental health disorders; physical symptoms; preoccupation; Psychotherapy; Reduce preoccupation; reduce stress; relationships; situations; somatic symptom disorder; stress; symptoms; talk therapy; The goal; treatment; work; your ability; your beliefs; your symptoms,a calming effect; A graduated activity program; activities; alcohol; anxiety; Avoid alcohol and recreational drugs.; depression; Get physically active.; mental health professional; Participate in activities.; problems; progressive muscle relaxation; recreational drugs; relapses; relaxation techniques; social and family activities; somatic symptom disorder; Stick with your treatment plan; stress management; Substance use; symptoms; treatment; Work with your care providers.; worsening; your body; your care providers; your medical care provider; your mood; your treatment plan; your work,https://www.mayoclinic.org/diseases-conditions/somatic-symptom-disorder/symptoms-causes/syc-20377776
Sore throat,a long time; a sore throat; air pollution; Allergic reactions; Allergies; Allergies.; Cancerous tumors; Dry indoor air; Dryness; Dryness.; Gastroesophageal reflux disease; Gastroesophageal reflux disease (GERD).; GERD; HIV infection; HIV infection.,,,bacterial infections; illnesses than viral; infections; other illnesses; sore throats; the diagnosis; treatment; treatment depends; viral or bacterial; viral or bacterial infections,,https://www.mayoclinic.org/diseases-conditions/sore-throat/symptoms-causes/syc-20351635
Specific phobias,airplanes; an object; Animals; anxiety; Blood; clowns; daily activities; dogs; enclosed spaces; extreme anxiety; fears; Feel like throwing; feelings; heights; injuries,"a medical, mental health and social history; fear; questions; risk factors; Talk; what risk factors; your fear; your symptoms",,a form; a phobia; CBT; Cognitive behavioral therapy; Cognitive behavioral therapy (CBT).; exposure therapy; Exposure therapy.; gradual exposure; medicine; other therapies; specific phobias; The best treatment; the cause; therapy; This therapy; your health care professional; your response,"a role; a specific phobia; anxiety; avoidance behaviors; children; deep breathing; exercise; Fear; Fear of public; genetics; help; Mindfulness strategies; phobias; Physical activity; Physical activity and exercise; progressive muscle relaxation; public speaking; Relaxation techniques; Relaxation techniques,; someone else's phobic response; your child; your own fears",https://www.mayoclinic.org/diseases-conditions/specific-phobias/symptoms-causes/syc-20355156
Spermatocele,,a mirror; any swelling; both hands; each testicle; the fingers; the index; the skin; the testicle; the thumbs,a mirror; any swelling; both hands; each testicle; the fingers; the index; the skin; the testicle; the thumbs,a day; a follow-up exam; a special needle; an irritating chemical; Apply ice packs; aspiration; fluid; ice packs; one and three weeks; oral pain; oral pain medications; Other treatments; sclerotherapy; surgery; the fluid; the sac; the spermatocele; two or three days; your doctor,,https://www.mayoclinic.org/diseases-conditions/spermatocele/symptoms-causes/syc-20377829
Spina bifida,any symptoms; bladder and bowel function; Meningocele; Meningocele.; Myelomeningocele; Myelomeningocele.; spina bifida; Spina bifida occulta; Spina bifida occulta.; the spinal nerves; this most serious type; This type; a combination; a family history; anti-seizure medicines,a baby; babies; other conditions; positive blood tests; prenatal screening; Some people; spina bifida; Tests; the birth; The tests,a sample; AFP; high AFP levels; Maternal serum alpha-fetoprotein (MSAFP) test; Maternal serum alpha-fetoprotein (MSAFP) test.; Other blood tests; Other blood tests.; the MSAFP test; Varying levels; Your healthcare professional,any treatment; bifida treatment depends; bladder management; Bowel; Bowel and bladder management.; exercises; management; Most babies; myelomeningocele; other complications; other types; Routine bowel and bladder evaluations; Some babies; Spina; Spina bifida; Spina bifida occulta; Spina bifida treatment; Surgery; Surgery for hydrocephalus.; the condition; Treatment; treatment depends; Walking and mobility aids; Walking and mobility aids.; your baby,a baby; folic acid supplements; neural tube defects; other neural tube defects; pregnancy; spina bifida; taking folic acid; the first trimester; the supplements; your risk,https://www.mayoclinic.org/diseases-conditions/spina-bifida/symptoms-causes/syc-20377860
Spinal arteriovenous malformation (AVM),"back pain; bowel movements; feeling; Headache; Lack; neck; Numbness; one or both sides; stairs; Stiff; Stiff neck; Sudden; sudden pain; Sudden, serious back pain; the body","Angiography; Angiography,; AVM; characteristics; examinations; Magnetic resonance imaging; Magnetic resonance imaging (MRI),; Mayo Clinic; MRI; Neurological; Neurological examinations; powerful magnets; Spinal arteriovenous malformation; the location",,a combination; a spinal arteriovenous malformation; approaches; AVM; possible complications; symptoms; The choice; the risk; the size; Treatment,,https://www.mayoclinic.org/diseases-conditions/spinal-arteriovenous-malformation/symptoms-causes/syc-20355613
